元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
加古川城,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%8a%a0%e5%8f%a4%e5%b7%9d%e5%9f%8e%e3%80%90%e5%8a%a0%e5%8f%a4%e5%b7%9d%e5%b8%82%e5%8a%a0%e5%8f%a4%e5%b7%9d%e7%94%ba%e6%9c%ac%e7%94%ba%e3%80%91/,加古川城,糟谷城、加須屋城,鎌倉時代か,糟谷氏,兵庫県加古川市加古川町本町,34.768551,134.830469
神吉城,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%a5%9e%e5%90%89%e5%9f%8e%e3%80%90%e5%8a%a0%e5%8f%a4%e5%b7%9d%e5%b8%82%e6%9d%b1%e7%a5%9e%e5%90%89%e7%94%ba%e7%a5%9e%e5%90%89%e3%80%91/,神吉城,真名井城、奈幸子城,南北朝時代,神吉氏,兵庫県加古川市東神吉町神吉（現在は常楽寺となっている）,34.795105,134.829535
金鑵城,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%87%91%e9%91%b5%e5%9f%8e%e3%80%90%e5%b0%8f%e9%87%8e%e5%b8%82%e6%98%ad%e5%92%8c%e7%94%ba%e5%b0%8f%e5%ad%97%e5%a4%a7%e8%b0%b7%e3%80%91/,金鑵城,金釣瓶城,不明,中村氏、別所氏,兵庫県小野市昭和町小字大谷（現在の夢の森公園内）,34.878182,134.907070
櫛田城,https://gosenzo.net/yamajiro/2021/09/20/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ab%9b%e7%94%b0%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%b8%8a%e6%9c%88%e7%94%ba%e6%ab%9b%e7%94%b0%e3%80%91/,櫛田城,宮山城,建長年間（1249～56）,櫛田氏（櫛田八郎有景が築城）,兵庫県佐用郡上月町櫛田,34.965589,134.354112
福原城,https://gosenzo.net/yamajiro/2021/09/20/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%a6%8f%e5%8e%9f%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e5%ad%97%e7%a6%8f%e5%8e%9f%e3%80%91/,福原城,作用城,建武年間(1334〜1338）佐用範家により築城,福原氏,兵庫県佐用郡佐用町字福原,34.996658,134.351501
上月城,https://gosenzo.net/yamajiro/2021/09/20/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e4%b8%8a%e6%9c%88%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e4%b8%8a%e6%9c%88%e3%80%91/,上月城,荒神山上月城,正治年間（1199～1201）,上月氏、赤松氏、尼子勝久,兵庫県佐用郡佐用町上月,34.975323,134.323279
仁位山城,https://gosenzo.net/yamajiro/2021/09/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e4%bb%81%e4%bd%8d%e5%b1%b1%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e4%bb%81%e4%bd%8d%e3%80%91/,仁位山城,仁位の陣山,天正5年（1577）,安藤信濃守,兵庫県佐用郡佐用町仁位(仁位山),34.978799,134.332776
徳久城,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%be%b3%e4%b9%85%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e6%9d%b1%e5%be%b3%e4%b9%85%e3%80%91/,徳久城（とくさじょう）,柏原城,健保年間（1213～19）,柏原氏、間島氏,兵庫県佐用郡佐用町東徳久,35.010893,134.419462
矢能の砦,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%9f%a2%e8%83%bd%e3%81%ae%e7%a0%a6%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e7%9f%a2%e8%83%bd%e3%80%91/,矢能の砦,,応永年間（1394～1428）辺りまで遡れる可能性がある。,宇野氏一族,兵庫県佐用郡佐用町矢能,34.999659,134.411326
米田城（熊見城）,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%b1%b3%e7%94%b0%e5%9f%8e%ef%bc%88%e7%86%8a%e8%a6%8b%e5%9f%8e%ef%bc%89%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e7%b1%b3%e7%94%b0/,米田城,熊見城,文治年間（1185～90）,宇野氏（築城者は山田伊豆守則景）赤松氏、得平氏,兵庫県佐用郡佐用町米田,34.987706,134.382265
感状山城,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%84%9f%e7%8a%b6%e5%b1%b1%e5%9f%8e%e3%80%90%e7%9b%b8%e7%94%9f%e5%b8%82%e7%9f%a2%e9%87%8e%e7%94%ba%e6%a3%ae%e3%80%91/,感状山城,瓜生城、下原山城,鎌倉時代もしくは建武3年（1336）,赤松氏（築城は瓜生左衛門尉の伝承や建武3年（1336）の赤松円心の三男則祐がある）,兵庫県相生市矢野町森（感状山）,34.881253,134.451316
白旗城,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%99%bd%e6%97%97%e5%9f%8e%e3%80%90%e8%b5%a4%e7%a9%82%e9%83%a1%e4%b8%8a%e9%83%a1%e7%94%ba%e8%b5%a4%e6%9d%be%e3%80%91/,白旗城,,元文3年（1333）,赤松氏（築城は赤松円心、則祐親子,兵庫県赤穂郡上郡町赤松,34.908183,134.380666
龍野城,https://gosenzo.net/yamajiro/2021/09/26/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%be%8d%e9%87%8e%e5%9f%8e%e3%80%90%e3%81%9f%e3%81%a4%e3%81%ae%e5%b8%82%e9%be%8d%e9%87%8e%e7%94%ba%e4%b8%8a%e9%9c%9e%e5%9f%8e%e3%80%91/,龍野城,朝霧城、霞城,江戸時代,脇坂氏,兵庫県たつの市龍野町上霞城,34.868730,134.544814
鶏籠山城,https://gosenzo.net/yamajiro/2021/09/27/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b6%8f%e7%b1%a0%e5%b1%b1%e5%9f%8e%e3%80%90%e3%81%9f%e3%81%a4%e3%81%ae%e5%b8%82%e9%be%8d%e9%87%8e%e7%94%ba%e4%b8%8a%e9%9c%9e%e5%9f%8e%e3%80%91/,鶏籠山城,龍野城、台山城、朝霧城、霞城,明応8年（1499）頃赤松政秀により築城と伝わる。,赤松氏,兵庫県たつの市龍野町上霞城,34.872709,134.544913
山下城,https://gosenzo.net/yamajiro/2021/09/30/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b1%b1%e4%b8%8b%e5%9f%8e%e3%80%90%e5%8a%a0%e8%a5%bf%e5%b8%82%e5%b1%b1%e4%b8%8b%e7%94%ba%e3%80%91/,山下城,,不明,浦上久松,兵庫県加西市山下町,34.901818,134.799459
小谷城,https://gosenzo.net/yamajiro/2021/09/30/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b0%8f%e8%b0%b7%e5%9f%8e%e3%80%90%e5%8a%a0%e8%a5%bf%e5%b8%82%e5%8c%97%e6%9d%a1%e7%94%ba%e5%b0%8f%e8%b0%b7%e3%80%91/,小谷城,,室町時代,上原民部大輔祐政（赤松義則次男）,兵庫県加西市北条町小谷,34.945704,134.832295
篠山城,https://gosenzo.net/yamajiro/2021/09/30/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%af%a0%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%b9%e6%b3%a2%e7%af%a0%e5%b1%b1%e5%b8%82%e5%8c%97%e6%96%b0%e7%94%ba%e3%80%91/,篠山城,桐ケ城,慶長14年（1609）,形原松平家、青山氏,兵庫県丹波篠山市北新町,35.073121,135.217589
黒井城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%bb%92%e4%ba%95%e5%9f%8e%e3%80%90%e4%b8%b9%e6%b3%a2%e5%b8%82%e6%98%a5%e6%97%a5%e7%94%ba%e9%bb%92%e4%ba%95%e3%80%91/,黒井城,保月城、保筑城,建武年間（1334～38）,築城者,兵庫県丹波市春日町黒井,35.179276,135.104057
利神城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%88%a9%e7%a5%9e%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e5%b9%b3%e7%a6%8f%e3%80%91/,利神城,平福城、雲突城,貞和5年（1349）,別所敦範が築城後に池田氏の城となる。（別所氏、服部勘介、池田由之、池田長政、良正院尼公（池田輝興母）、池田輝興）,兵庫県佐用郡佐用町平福,35.046132,134.377474
八上城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%85%ab%e4%b8%8a%e5%9f%8e%e3%80%90%e4%b8%b9%e6%b3%a2%e7%af%a0%e5%b1%b1%e5%b8%82%e5%85%ab%e4%b8%8a%e5%86%85%e5%ad%97%e9%ab%98%e5%9f%8e%e5%b1%b1%e3%80%91/,八上城,八上高城,永正5年（1508）,波多野氏,兵庫県丹波篠山市八上内字高城山,35.061725,135.255750
蕪丸城（奥谷城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%95%aa%e4%b8%b8%e5%9f%8e%ef%bc%88%e5%a5%a5%e8%b0%b7%e5%9f%8e%ef%bc%89%e3%80%90%e4%b8%b9%e6%b3%a2%e7%af%a0%e5%b1%b1%e5%b8%82%e6%ae%bf%e7%94%ba%e3%80%91/,蕪丸城,奥谷城,永正年間（1504～21）　1508年に八上城に移るのでそれ以前。,波多野氏,兵庫県丹波篠山市殿町,35.056122,135.252968
明石城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%98%8e%e7%9f%b3%e5%9f%8e%e3%80%90%e6%98%8e%e7%9f%b3%e5%b8%82%e6%98%8e%e7%9f%b3%e5%85%ac%e5%9c%921%e4%b8%81%e7%9b%ae%e3%80%91/,明石城,喜春城、錦江城,元和4年（1618）,戸田氏、大久保氏、松平氏,兵庫県明石市明石公園1丁目,34.652418,134.991154
洲本城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%b4%b2%e6%9c%ac%e5%9f%8e%e3%80%90%e6%b4%b2%e6%9c%ac%e5%b8%82%e5%b1%b1%e6%89%8b1%e4%b8%81%e7%9b%ae%e3%80%91/,洲本城,三熊城,室町時代後期,安宅氏、仙石秀久、脇坂氏、蜂須賀氏、稲田氏（城代）,兵庫県洲本市山手1丁目,34.337712,134.903011
尼崎城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b0%bc%e5%b4%8e%e5%9f%8e%e3%80%90%e5%b0%bc%e5%b4%8e%e5%b8%82%e5%8c%97%e5%9f%8e%e5%86%85%e3%80%91/,尼崎城,琴浦城、琴城、尼丘城,元和3年（1617年）,戸田氏鉄、青山氏、松平氏,兵庫県尼崎市北城内,34.716690,135.418761
大覚寺城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%a4%a7%e8%a6%9a%e5%af%ba%e5%9f%8e%e3%80%90%e5%b0%bc%e5%b4%8e%e5%b8%82%e5%af%ba%e7%94%ba%e3%80%91/,大覚寺城,無し,南北朝時代,足利義詮,兵庫県尼崎市寺町,34.717791,135.412635
有岡城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9c%89%e5%b2%a1%e5%9f%8e%e3%80%90%e4%bc%8a%e4%b8%b9%e5%b8%82%e4%bc%8a%e4%b8%b92%e4%b8%81%e7%9b%ae%e3%80%91/,有岡城,伊丹城,鎌倉時代末,伊丹氏、荒木村重、池田之助,兵庫県伊丹市伊丹2丁目,34.781327,135.420851
花隈城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9c%89%e5%b2%a1%e5%9f%8e%e3%80%90%e4%bc%8a%e4%b8%b9%e5%b8%82%e4%bc%8a%e4%b8%b92%e4%b8%81%e7%9b%ae%e3%80%91/,有岡城,伊丹城,鎌倉時代末,伊丹氏、荒木村重、池田之助,兵庫県伊丹市伊丹2丁目,34.781327,135.420851
安土城,https://gosenzo.net/yamajiro/2021/11/06/%e3%80%90%e6%bb%8b%e8%b3%80%e7%9c%8c%e3%80%91%e5%ae%89%e5%9c%9f%e5%9f%8e%e3%80%90%e8%bf%91%e6%b1%9f%e5%85%ab%e5%b9%a1%e5%b8%82%e5%ae%89%e5%9c%9f%e7%94%ba%e4%b8%8b%e8%b1%8a%e6%b5%a6%e3%80%91/,安土城,,天正4年(1576)織田信長によって築かれる。,織田信長,滋賀県近江八幡市安土町下豊浦,35.155907,136.139422
観音寺城,https://gosenzo.net/yamajiro/2021/11/21/%e3%80%90%e6%bb%8b%e8%b3%80%e7%9c%8c%e3%80%91%e8%a6%b3%e9%9f%b3%e5%af%ba%e5%9f%8e%e3%80%90%e8%bf%91%e6%b1%9f%e5%85%ab%e5%b9%a1%e5%b8%82%e5%ae%89%e5%9c%9f%e7%94%ba%e6%a1%91%e5%ae%9f%e5%af%ba%e3%80%91/,観音寺城,佐々木城、観音城,応仁文明年間（1467～87）,佐々木六角氏,滋賀県近江八幡市安土町桑実寺,35.149075,136.159366
佐和山城,https://gosenzo.net/yamajiro/2021/11/21/%e3%80%90%e6%bb%8b%e8%b3%80%e7%9c%8c%e3%80%91%e4%bd%90%e5%92%8c%e5%b1%b1%e5%9f%8e%e3%80%90%e5%bd%a6%e6%a0%b9%e5%b8%82%e4%bd%90%e5%92%8c%e5%b1%b1%e7%94%ba%e3%80%91/,佐和山城,佐保城,建久年間（1190～99）佐保時綱が築城との伝承がある。,佐保氏、小川氏、磯野氏、丹羽氏、石田氏、井伊氏,滋賀県彦根市佐和山町,35.279648,136.269516
彦根城,https://gosenzo.net/yamajiro/2021/11/26/%e3%80%90%e6%bb%8b%e8%b3%80%e7%9c%8c%e3%80%91%e5%bd%a6%e6%a0%b9%e5%9f%8e%e3%80%90%e5%bd%a6%e6%a0%b9%e5%b8%82%e9%87%91%e4%ba%80%e7%94%ba%e3%80%91/,彦根城,金亀城,慶長8年（1603）,井伊氏,滋賀県彦根市金亀町,35.276402,136.252120
小谷城,https://gosenzo.net/yamajiro/2021/11/26/%e3%80%90%e6%bb%8b%e8%b3%80%e7%9c%8c%e3%80%91%e5%b0%8f%e8%b0%b7%e5%9f%8e%e3%80%90%e9%95%b7%e6%b5%9c%e5%b8%82%e6%b9%96%e5%8c%97%e7%94%ba%e4%bc%8a%e9%83%a8%e3%80%91/,小谷城,,永正13年（1516）,浅井氏,滋賀県長浜市湖北町伊部,35.459011,136.277116
長浜城,https://gosenzo.net/yamajiro/2021/11/26/%e3%80%90%e6%bb%8b%e8%b3%80%e7%9c%8c%e3%80%91%e9%95%b7%e6%b5%9c%e5%9f%8e%e3%80%90%e9%95%b7%e6%b5%9c%e5%b8%82%e5%85%ac%e5%9c%92%e7%94%ba%e3%80%91/,長浜城,今浜城,天正元年（1570）,羽柴秀吉、柴田氏、山内氏、内藤氏,滋賀県長浜市公園町,35.377627,136.261228
和歌山城,https://gosenzo.net/yamajiro/2021/11/26/%e3%80%90%e5%92%8c%e6%ad%8c%e5%b1%b1%e7%9c%8c%e3%80%91%e5%92%8c%e6%ad%8c%e5%b1%b1%e5%9f%8e%e3%80%90%e5%92%8c%e6%ad%8c%e5%b1%b1%e5%b8%82%e4%b8%80%e7%95%aa%e4%b8%81%e3%80%91/,和歌山城,虎伏城、竹垣城,天正13年（1585）羽柴秀長によって築城される。,羽柴氏、浅野氏、徳川氏,和歌山県和歌山市一番丁,34.227522,135.171152
大和郡山城,https://gosenzo.net/yamajiro/2021/11/26/%e3%80%90%e5%a5%88%e8%89%af%e7%9c%8c%e3%80%91%e9%83%a1%e5%b1%b1%e5%9f%8e%e3%80%90%e5%a4%a7%e5%92%8c%e9%83%a1%e5%b1%b1%e5%b8%82%e5%9f%8e%e5%86%85%e7%94%ba%e3%80%91/,大和郡山城,犬伏城,応保2年（1162）頃には砦程度のものがあったらしい、戦国時代初期には城があったとされる、本格的な築城は天正8年（1580）,筒井氏、豊臣氏、水野氏、柳沢氏,奈良県大和郡山市城内町,34.651874,135.779040
高取城,https://gosenzo.net/yamajiro/2024/06/01/%e3%80%90%e5%a5%88%e8%89%af%e7%9c%8c%e3%80%91%e9%ab%98%e5%8f%96%e5%9f%8e%e3%80%90%e5%a5%88%e8%89%af%e7%9c%8c%e9%ab%98%e5%b8%82%e9%83%a1%e9%ab%98%e5%8f%96%e7%94%ba%e4%b8%8a%e5%ad%90%e5%b6%8b%e3%80%91/,高取城,無し,南北朝時代,越智氏、本多氏、植村氏,奈良県高市郡高取町上子嶋,34.429102,135.827451
大阪城,https://gosenzo.net/yamajiro/2021/11/28/%e3%80%90%e5%a4%a7%e9%98%aa%e5%ba%9c%e3%80%91%e5%a4%a7%e9%98%aa%e5%9f%8e%e3%80%90%e5%a4%a7%e9%98%aa%e5%b8%82%e4%b8%ad%e5%a4%ae%e5%8c%ba%e3%80%91/,大阪城,"錦城、金城,、華城",天正11年（1583）,豊臣氏、徳川氏,大阪府大阪市中央区,34.686276,135.525820
真田丸,https://gosenzo.net/yamajiro/2021/11/28/%e3%80%90%e5%a4%a7%e9%98%aa%e5%ba%9c%e3%80%91%e7%9c%9f%e7%94%b0%e4%b8%b8%e3%80%90%e5%a4%a7%e9%98%aa%e5%b8%82%e5%a4%a9%e7%8e%8b%e5%af%ba%e5%8c%ba%e9%a4%8c%e5%b7%ae%e7%94%ba%e3%80%91/,真田丸,,慶長19年(1614),真田信繁（幸村）,大阪府大阪市天王寺区餌差町,34.671887,135.525854
大塚城（茶臼山陣城）,https://gosenzo.net/yamajiro/2021/11/28/%e3%80%90%e5%a4%a7%e9%98%aa%e5%ba%9c%e3%80%91%e5%a4%a7%e5%a1%9a%e5%9f%8e%e3%80%90%e5%a4%a7%e9%98%aa%e5%b8%82%e5%a4%a9%e7%8e%8b%e5%af%ba%e5%8c%ba%e8%8c%b6%e8%87%bc%e5%b1%b1%e7%94%ba%e3%80%91/,大塚城,茶臼山砦・茶臼山陣城,天文15年（1546）に細川晴元の家臣・山中又三郎が築城したと伝えられる。,細川氏、徳川家康、真田信繁,大阪府大阪市天王寺区茶臼山町,34.651846,135.511470
岸和田城,https://gosenzo.net/yamajiro/2024/06/01/%e3%80%90%e5%a4%a7%e9%98%aa%e5%ba%9c%e3%80%91%e5%b2%b8%e5%92%8c%e7%94%b0%e5%9f%8e%e3%80%90%e5%b2%b8%e5%92%8c%e7%94%b0%e5%b8%82%e5%b2%b8%e5%9f%8e%e7%94%ba%e3%80%91/,岸和田城,岸ノ和田城、滕城、蟄亀利城、千亀利城,1583年羽柴秀吉が中村一氏を岸和田城の城主とする。,中村一氏、小出秀政、松平康重、岡部氏,大阪府岸和田市岸城町,34.458903,135.370495
岸和田古城,https://gosenzo.net/yamajiro/2024/06/01/%e3%80%90%e5%a4%a7%e9%98%aa%e5%ba%9c%e3%80%91%e5%b2%b8%e5%92%8c%e7%94%b0%e5%8f%a4%e5%9f%8e%e3%80%90%e5%b2%b8%e5%92%8c%e7%94%b0%e5%b8%82%e9%87%8e%e7%94%b0%e7%94%ba%e3%80%91/,岸和田古城,照日山・岸の城,建武元年（1334）,和田新兵衛高家,大阪府岸和田市野田町,34.457774,135.377902
広島城,https://gosenzo.net/yamajiro/2020/12/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%ba%83%e5%b3%b6%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e4%b8%ad%e5%8c%ba%e5%9f%ba%e7%94%ba%e3%80%91/,広島城,鯉城（りじょう）,1589年築城開始　1591年毛利輝元入城,毛利輝元、福島正則、浅野氏,広島県広島市中区基町,34.402757,132.459071
仁保城,https://gosenzo.net/yamajiro/2020/12/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bb%81%e4%bf%9d%e5%9f%8e%e3%80%90%e5%8d%97%e5%8c%ba%e4%bb%81%e4%bf%9d%e7%94%ba%e3%80%91/,仁保城,,室町時代後期頃,白井氏、香川光景、三浦元忠,広島県広島市南区仁保町,34.366173,132.490246
矢野城,https://gosenzo.net/yamajiro/2021/02/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%9f%a2%e9%87%8e%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e5%8c%ba%e7%9f%a2%e9%87%8e%e7%94%ba%e3%80%91/,矢野城,保木城、保喜城,建武2年（1335）,熊谷蓮覚、野間氏,広島県安芸区矢野町,34.331843,132.537842
鳥籠山城,https://gosenzo.net/yamajiro/2021/02/14/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%b3%a5%e7%b1%a0%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%ad%e9%87%8e%e7%94%ba%e3%80%91/,鳥籠山城（とこのやまじょう）,鳥籠城、鳥篭山城、鳥篭城,承久年間（1219～22）,阿曽沼氏,広島県広島市安芸区中野町,34.390984,132.556380
串山城,https://gosenzo.net/yamajiro/2021/02/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%b2%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e6%9d%b1%e5%8c%ba%e5%85%89%e7%94%ba%e5%85%89%e3%83%b6%e4%b8%98%e3%80%91/,串山城,,不明,不明,広島県広島市東区光町光ヶ丘,34.405893,132.477941
飯山城,https://gosenzo.net/yamajiro/2021/02/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%a3%af%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e8%88%b9%e8%b6%8a%e7%94%ba%e3%80%91/,飯山城,,戦国時代か,小田村大之丞（阿曽沼家臣）,広島県広島市安芸区船越町,34.375929,132.534502
戸坂城,https://gosenzo.net/yamajiro/2021/05/01/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%88%b8%e5%9d%82%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e6%9d%b1%e5%8c%ba%e6%88%b8%e5%9d%82%e3%80%91/,戸坂城,茶臼山城,戦国時代か,戸坂氏,広島県広島市東区戸坂,34.422751,132.485463
戸坂支城,https://gosenzo.net/yamajiro/2021/05/01/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%88%b8%e5%9d%82%e6%94%af%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e6%9d%b1%e5%8c%ba%e6%88%b8%e5%9d%82%e3%80%91/,戸坂出城（仮称）,,戦国時代か,戸坂氏,広島県広島市東区戸坂,34.426868,132.488021
二カ城,https://gosenzo.net/yamajiro/2021/05/01/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%8c%e3%82%ab%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e6%9d%b1%e5%8c%ba%e9%a6%ac%e6%9c%a8%e3%80%91/,二力城（ふたつがじょう）,豆カ城跡・二ツ城跡,戦国時代か,不明,広島県東区馬木～安佐北区口田南,34.447089,132.520609
中城,https://gosenzo.net/yamajiro/2021/05/01/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%ad%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e7%b7%91%e4%ba%95%e3%80%91/,中城,,戦国時代か,香川次右衛門（香川勝雄）,広島県広島市安佐南区緑井,34.479270,132.476068
恵下山城,https://gosenzo.net/yamajiro/2021/05/01/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%81%b5%e4%b8%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%8e%96%e6%9d%91%e3%80%91/,恵下山城（えげやまじょう）,"会下山城,恵下山ノ城",鎌倉時代末期から室町時代末期,金子氏か,広島県広島市安佐北区玖村,34.481494,132.511142
伴東城・伴城,https://gosenzo.net/yamajiro/2021/05/02/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bc%b4%e6%9d%b1%e5%9f%8e%e3%83%bb%e4%bc%b4%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e4%bc%b4%e7%94%ba%e3%80%91/,伴東城,,13～14世紀か,伴氏,広島県広島市安佐南区伴町,34.459573,132.408849
伴東城・伴城,https://gosenzo.net/yamajiro/2021/05/02/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bc%b4%e6%9d%b1%e5%9f%8e%e3%83%bb%e4%bc%b4%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e4%bc%b4%e7%94%ba%e3%80%91/,伴城,,不明,伴氏,広島県広島市安佐南区伴町,34.458617,132.407875
久地城,https://gosenzo.net/yamajiro/2021/05/02/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b9%85%e5%9c%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e4%b9%85%e5%9c%b0%e3%80%91/,久地城,世宇武城、勝負城、古城跡,不明,麻生右衛門鎮里,広島県広島市安佐北区安佐町久地,34.517234,132.399800
